contract(Gate.io),address,time,,,value
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x031b833939ae3fcee8d753103efe06ae37cf62de,2024/1/29,26:11.0,UTC,1.21E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x0add2aaa6d638e1e7f72f39598c5aff025a6f95e,2024/1/29,12:11.0,UTC,1.84E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x0ec4e4db0a5eb38e99b9ae39a23b549d6f0d250e,2024/1/29,45:35.0,UTC,1.71E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x17884149a0e97b75ea3b5a55d352838a9a89e02e,2024/1/29,22:23.0,UTC,1.79E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x23063befd596678e1a520da9fb6b01e2aab56eaa,2024/1/29,27:35.0,UTC,1.65E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x25fb3f905fa2b80e76074f993b77f95223e1d603,2024/1/29,05:11.0,UTC,1.18E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x295fb7f93a4947feaa9528ddb7159c0aaf1f7765,2024/1/29,21:11.0,UTC,1.19E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x2d1ef5f44f14b4ea5442b2a3f48cb7fa3982cfbd,2024/1/29,53:11.0,UTC,1.31E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x2d9cec9feb1dbb12ba221ade2132f29825e1d7d1,2024/1/29,51:47.0,UTC,9.67E+15
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x2faf5db8150afca4c5f76d3e1639d538429d2580,2024/1/29,48:11.0,UTC,1.54E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x34e39aaacca567a4c5f981e04f925238008cb0c0,2024/1/29,45:35.0,UTC,1.11E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x394afa586c54a2c26b4a1313c96fbab6a5c1c33f,2024/1/29,44:35.0,UTC,1.20E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x39615849da107fe6f1cdbaf5123c1399d2ee4610,2024/1/29,35:35.0,UTC,1.78E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x40535da786f2457953f141243e9bee9218b85017,2024/1/29,00:47.0,UTC,1.00E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x40f3d50ae1c6e61d16e55f04bf6b4663c6624dc7,2024/1/29,59:11.0,UTC,1.87E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x431d7b6c3143b1e8f4016f48418e201886170102,2024/1/29,23:35.0,UTC,1.57E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x475b17e15d4cc6e6c8331322b28b93112b8b7876,2024/1/29,03:23.0,UTC,9.92E+15
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x4c644a1f84ccb51c29111eacea0be0d4788510f8,2024/1/29,11:35.0,UTC,1.07E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x51896d976c417330cf80b5fe3e731c4a378b49dc,2024/1/29,50:59.0,UTC,1.14E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x5e965041306c7640787e43a2f59798d25d44d732,2024/1/29,41:11.0,UTC,1.18E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x5f14ac70d62ce355991e3b7d76b3427dca338955,2024/1/29,53:35.0,UTC,1.47E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6071a0950e99d76beb6e66259cc4b9d00b8ded38,2024/1/29,19:35.0,UTC,1.42E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x64f767fd3e3468f27eb5c61600d293fdf3066942,2024/1/29,07:35.0,UTC,1.90E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6785f10ebcdcd9d58b37fbf725cabdb6144df354,2024/1/29,56:23.0,UTC,1.68E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x69e385240576bb6ad3778e9f8ba80578253e4ad8,2024/1/29,53:35.0,UTC,1.10E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6c384c8dcf6f8ada4b32b5e3e0794673367983e3,2024/1/29,47:35.0,UTC,1.16E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6e36e04336c80d75a9e66d0df127013fc5c4bedb,2024/1/29,10:23.0,UTC,1.83E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6e5f475ea2402e2f4f7f3be3672dede683d8357a,2024/1/29,45:35.0,UTC,1.13E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x703c1d6f0f6c859ff9d3bc05cad0e71dcbff15d2,2024/1/29,16:47.0,UTC,1.70E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x71e1b808e4f623c1bdd9f2095728a7f915316d65,2024/1/29,00:23.0,UTC,1.75E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x7225bf7f4a5ecea097e35b610177720d179381ab,2024/1/29,29:11.0,UTC,1.24E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x7966d17e4c037cfd5f3383a4a75ce18015947d99,2024/1/29,36:23.0,UTC,1.91E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x7ce8050d9c77a83e4c467f9d4a46e5560767eeb5,2024/1/29,01:11.0,UTC,1.02E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x7d8cb8f758d592ac2fc1984786473710563798c4,2024/1/29,58:23.0,UTC,1.05E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x822b929248fd27b3bf7b70e6490f762f0d0c5c14,2024/1/29,57:35.0,UTC,1.91E+16
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x84bd5095aeab746ef1a2a4af097bd67657b3ab80,2024/1/29,35:35.0,UTC,1.78E+16
